file_name,vulnerability,model
falcon180b-32784.c,1,falcon180b
llama2-13B-3451.c,1,llama2
mistral_7b-6173.c,0,mistral_7b
gpt35-74240.c,0,gpt35
falcon180b-5526.c,0,falcon180b
gpt4o_mini-25461.c,1,gpt4o_mini
gemma7b-8756.c,0,gemma7b
gpt4o_mini-6271.c,0,gpt4o_mini
gpt35-20289.c,1,gpt35
falcon180b-59067.c,0,falcon180b
falcon180b-65421.c,0,falcon180b
gemma7b-29235.c,1,gemma7b
mistral_7b-5774.c,1,mistral_7b
gemma7b-34240.c,1,gemma7b
gemma7b-41265.c,1,gemma7b
gemma7b-17685.c,1,gemma7b
gemma7b-12817.c,0,gemma7b
mistral_7b-236.c,0,mistral_7b
mistral_7b-8480.c,0,mistral_7b
gemini_pro-27780.c,0,gemini_pro
falcon180b-27629.c,0,falcon180b
gemma7b-15788.c,0,gemma7b
gpt4o_mini-11110.c,1,gpt4o_mini
gpt35-35426.c,1,gpt35
gpt35-40479.c,0,gpt35
gemini_pro-26933.c,0,gemini_pro
llama2-13B-15359.c,1,llama2
falcon180b-38148.c,0,falcon180b
codellama_13b-1332.c,0,codellama_13b
falcon2-11B-3479.c,1,falcon2
codellama_13b-946.c,1,codellama_13b
gemma7b-27599.c,0,gemma7b
gpt4o_mini-36847.c,1,gpt4o_mini
gemma7b-33415.c,1,gemma7b
gpt4o_mini-19284.c,1,gpt4o_mini
falcon2-11B-4936.c,1,falcon2
gemini_pro-36406.c,0,gemini_pro
gemma7b-27763.c,1,gemma7b
gpt35-40018.c,0,gpt35
falcon2-11B-11442.c,1,falcon2
llama2-13B-6886.c,0,llama2
gemini_pro-11359.c,1,gemini_pro
falcon2-11B-5897.c,1,falcon2
falcon2-11B-8339.c,0,falcon2
mistral_7b-4873.c,1,mistral_7b
falcon2-11B-4052.c,0,falcon2
gpt4o_mini-36605.c,0,gpt4o_mini
gemini_pro-36654.c,0,gemini_pro
mistral_7b-3117.c,1,mistral_7b
gemma7b-40469.c,0,gemma7b
codellama_13b-3406.c,1,codellama_13b
falcon2-11B-5267.c,0,falcon2
falcon2-11B-1921.c,1,falcon2
gemini_pro-3853.c,0,gemini_pro
mistral_7b-5170.c,1,mistral_7b
gemma7b-34629.c,0,gemma7b
codellama_13b-3426.c,1,codellama_13b
mistral_7b-4139.c,1,mistral_7b
llama2-13B-11991.c,0,llama2
gpt4o_mini-3588.c,0,gpt4o_mini
falcon180b-54377.c,1,falcon180b
falcon180b-46.c,1,falcon180b
gpt35-28618.c,1,gpt35
falcon2-11B-9827.c,1,falcon2
gemini_pro-27580.c,0,gemini_pro
gpt35-67625.c,0,gpt35
gemma7b-12015.c,0,gemma7b
llama2-13B-12804.c,1,llama2
llama2-13B-7607.c,0,llama2
mistral_7b-4673.c,0,mistral_7b
llama2-13B-7881.c,0,llama2
codellama_13b-4938.c,0,codellama_13b
codellama_13b-7651.c,1,codellama_13b
mistral_7b-2069.c,1,mistral_7b
gemma7b-31037.c,1,gemma7b
falcon180b-8532.c,0,falcon180b
gpt4o_mini-18919.c,0,gpt4o_mini
gpt4o_mini-12904.c,1,gpt4o_mini
gemini_pro-24899.c,0,gemini_pro
falcon2-11B-9465.c,1,falcon2
mistral_7b-8073.c,0,mistral_7b
falcon180b-5167.c,0,falcon180b
mistral_7b-5163.c,1,mistral_7b
codellama_13b-11037.c,1,codellama_13b
falcon180b-7833.c,0,falcon180b
gemini_pro-33773.c,1,gemini_pro
gpt4o_mini-37561.c,1,gpt4o_mini
gemini_pro-1364.c,0,gemini_pro
codellama_13b-1557.c,0,codellama_13b
gpt35-61624.c,1,gpt35
falcon180b-25319.c,1,falcon180b
gpt35-25345.c,1,gpt35
gemma7b-23768.c,1,gemma7b
codellama_13b-3709.c,0,codellama_13b
codellama_13b-1111.c,0,codellama_13b
gpt35-51466.c,0,gpt35
gemini_pro-32675.c,1,gemini_pro
codellama_13b-115.c,0,codellama_13b
mistral_7b-855.c,1,mistral_7b
llama2-13B-17751.c,1,llama2
gpt4o_mini-17019.c,1,gpt4o_mini
falcon180b-24393.c,1,falcon180b
gemma7b-32112.c,1,gemma7b
gpt4o_mini-25986.c,0,gpt4o_mini
llama2-13B-17850.c,0,llama2
gpt35-29438.c,0,gpt35
gpt35-71139.c,1,gpt35
gpt35-52857.c,1,gpt35
codellama_13b-4341.c,1,codellama_13b
falcon180b-55728.c,1,falcon180b
codellama_13b-7144.c,1,codellama_13b
falcon2-11B-8486.c,0,falcon2
falcon180b-39879.c,0,falcon180b
falcon180b-13715.c,0,falcon180b
mistral_7b-9364.c,1,mistral_7b
llama2-13B-16541.c,1,llama2
gpt35-1677.c,0,gpt35
gemma7b-40042.c,0,gemma7b
falcon2-11B-11679.c,1,falcon2
falcon2-11B-9923.c,0,falcon2
falcon180b-51351.c,1,falcon180b
llama2-13B-5439.c,0,llama2
llama2-13B-9788.c,1,llama2
codellama_13b-9176.c,1,codellama_13b
llama2-13B-11350.c,0,llama2
mistral_7b-1346.c,1,mistral_7b
falcon2-11B-8355.c,1,falcon2
gpt4o_mini-2609.c,1,gpt4o_mini
falcon180b-65364.c,1,falcon180b
gemini_pro-39620.c,1,gemini_pro
falcon180b-28991.c,1,falcon180b
llama2-13B-18706.c,1,llama2
codellama_13b-11727.c,0,codellama_13b
falcon2-11B-10096.c,1,falcon2
gemma7b-29038.c,1,gemma7b
llama2-13B-16836.c,0,llama2
gemma7b-45595.c,0,gemma7b
gemini_pro-25019.c,0,gemini_pro
llama2-13B-7661.c,1,llama2
codellama_13b-5496.c,0,codellama_13b
gpt4o_mini-20491.c,1,gpt4o_mini
gpt35-32734.c,0,gpt35
gemma7b-36341.c,0,gemma7b
gpt4o_mini-33956.c,0,gpt4o_mini
gpt35-31590.c,0,gpt35
falcon180b-22383.c,1,falcon180b
gemini_pro-4864.c,1,gemini_pro
codellama_13b-10388.c,0,codellama_13b
gpt35-20124.c,1,gpt35
gemini_pro-17643.c,1,gemini_pro
gpt4o_mini-25779.c,1,gpt4o_mini
gemini_pro-17944.c,0,gemini_pro
falcon180b-15992.c,0,falcon180b
falcon2-11B-6486.c,1,falcon2
gpt35-27673.c,0,gpt35
gemini_pro-23488.c,0,gemini_pro
gemini_pro-28303.c,1,gemini_pro
falcon180b-20600.c,1,falcon180b
mistral_7b-1112.c,0,mistral_7b
falcon2-11B-11645.c,1,falcon2
llama2-13B-8756.c,0,llama2
codellama_13b-9921.c,1,codellama_13b
gpt35-29022.c,1,gpt35
gemma7b-7506.c,0,gemma7b
gemma7b-19563.c,1,gemma7b
falcon180b-44170.c,1,falcon180b
codellama_13b-5255.c,0,codellama_13b
gemini_pro-19510.c,0,gemini_pro
gemini_pro-8964.c,1,gemini_pro
falcon180b-37085.c,1,falcon180b
gpt4o_mini-35377.c,0,gpt4o_mini
gemma7b-24160.c,0,gemma7b
codellama_13b-10777.c,1,codellama_13b
falcon180b-53959.c,0,falcon180b
gemini_pro-6214.c,0,gemini_pro
falcon180b-19787.c,1,falcon180b
gemma7b-26729.c,0,gemma7b
gemini_pro-35733.c,1,gemini_pro
falcon2-11B-389.c,0,falcon2
falcon180b-13429.c,0,falcon180b
llama2-13B-18314.c,0,llama2
falcon2-11B-5458.c,1,falcon2
gemma7b-35776.c,1,gemma7b
llama2-13B-5058.c,0,llama2
codellama_13b-10219.c,1,codellama_13b
gemini_pro-31464.c,1,gemini_pro
falcon2-11B-940.c,0,falcon2
gpt4o_mini-6615.c,1,gpt4o_mini
codellama_13b-731.c,0,codellama_13b
falcon180b-18855.c,0,falcon180b
mistral_7b-3008.c,0,mistral_7b
falcon180b-50226.c,0,falcon180b
codellama_13b-4480.c,1,codellama_13b
mistral_7b-2244.c,1,mistral_7b
gemma7b-9954.c,1,gemma7b
mistral_7b-5328.c,1,mistral_7b
falcon2-11B-1573.c,0,falcon2
mistral_7b-2073.c,0,mistral_7b
falcon180b-68944.c,0,falcon180b
gemini_pro-12398.c,1,gemini_pro
gpt4o_mini-36003.c,0,gpt4o_mini
falcon2-11B-8791.c,0,falcon2
gpt35-76453.c,0,gpt35
gpt4o_mini-2470.c,0,gpt4o_mini
gpt4o_mini-30640.c,0,gpt4o_mini
gpt35-75232.c,1,gpt35
gemini_pro-37910.c,0,gemini_pro
mistral_7b-8376.c,0,mistral_7b
codellama_13b-8583.c,1,codellama_13b
gemma7b-38568.c,1,gemma7b
falcon2-11B-2154.c,0,falcon2
mistral_7b-8863.c,1,mistral_7b
falcon2-11B-4598.c,0,falcon2
llama2-13B-1955.c,1,llama2
llama2-13B-9990.c,0,llama2
gemini_pro-34435.c,1,gemini_pro
gemini_pro-2155.c,1,gemini_pro
gpt35-2805.c,0,gpt35
falcon180b-14669.c,0,falcon180b
gpt4o_mini-26122.c,1,gpt4o_mini
falcon2-11B-6185.c,0,falcon2
falcon180b-18794.c,1,falcon180b
gemma7b-35104.c,0,gemma7b
gpt4o_mini-33213.c,1,gpt4o_mini
llama2-13B-15310.c,1,llama2
falcon2-11B-261.c,0,falcon2
falcon180b-7942.c,0,falcon180b
codellama_13b-22.c,0,codellama_13b
mistral_7b-5063.c,1,mistral_7b
falcon180b-66027.c,1,falcon180b
gpt4o_mini-4117.c,0,gpt4o_mini
mistral_7b-9264.c,0,mistral_7b
gpt4o_mini-22872.c,0,gpt4o_mini
mistral_7b-4442.c,0,mistral_7b
gemini_pro-17897.c,0,gemini_pro
mistral_7b-2593.c,0,mistral_7b
falcon180b-53994.c,1,falcon180b
gemma7b-22272.c,1,gemma7b
llama2-13B-16628.c,1,llama2
mistral_7b-1580.c,0,mistral_7b
gemma7b-11854.c,0,gemma7b
gemma7b-19889.c,0,gemma7b
gemma7b-34077.c,1,gemma7b
codellama_13b-2330.c,1,codellama_13b
mistral_7b-6839.c,1,mistral_7b
gpt35-69356.c,0,gpt35
llama2-13B-16340.c,0,llama2
llama2-13B-2877.c,1,llama2
gemini_pro-22302.c,0,gemini_pro
codellama_13b-11340.c,0,codellama_13b
gemini_pro-18900.c,0,gemini_pro
gemini_pro-30519.c,0,gemini_pro
gpt4o_mini-35484.c,1,gpt4o_mini
codellama_13b-4660.c,0,codellama_13b
gpt4o_mini-213.c,0,gpt4o_mini
mistral_7b-3482.c,1,mistral_7b
gpt35-70415.c,0,gpt35
gemini_pro-22640.c,0,gemini_pro
gpt4o_mini-35350.c,0,gpt4o_mini
falcon2-11B-7745.c,1,falcon2
llama2-13B-1586.c,1,llama2
llama2-13B-18278.c,0,llama2
gemma7b-1441.c,1,gemma7b
codellama_13b-4955.c,0,codellama_13b
gemma7b-6678.c,0,gemma7b
gpt35-51666.c,0,gpt35
falcon2-11B-733.c,0,falcon2
gemini_pro-5957.c,1,gemini_pro
codellama_13b-1683.c,1,codellama_13b
gemma7b-45884.c,1,gemma7b
gpt4o_mini-33509.c,1,gpt4o_mini
llama2-13B-16222.c,1,llama2
gpt35-8255.c,1,gpt35
gpt35-57784.c,1,gpt35
falcon2-11B-4696.c,0,falcon2
mistral_7b-4800.c,0,mistral_7b
gpt35-66260.c,1,gpt35
gemma7b-7622.c,1,gemma7b
gemini_pro-17956.c,0,gemini_pro
codellama_13b-4252.c,1,codellama_13b
llama2-13B-9931.c,0,llama2
gpt4o_mini-10123.c,0,gpt4o_mini
mistral_7b-6589.c,0,mistral_7b
gpt35-41050.c,0,gpt35
gemma7b-40805.c,0,gemma7b
gpt35-44792.c,0,gpt35
llama2-13B-19685.c,0,llama2
gpt35-76372.c,0,gpt35
gpt4o_mini-24406.c,0,gpt4o_mini
codellama_13b-10088.c,0,codellama_13b
gpt35-56335.c,0,gpt35
gpt4o_mini-38168.c,1,gpt4o_mini
gpt4o_mini-2630.c,0,gpt4o_mini
gpt4o_mini-36136.c,0,gpt4o_mini
codellama_13b-9882.c,1,codellama_13b
mistral_7b-7295.c,1,mistral_7b
gpt4o_mini-25969.c,1,gpt4o_mini
llama2-13B-11970.c,1,llama2
gemma7b-41692.c,0,gemma7b
codellama_13b-10816.c,0,codellama_13b
falcon180b-28932.c,1,falcon180b
mistral_7b-1779.c,1,mistral_7b
gemma7b-41560.c,1,gemma7b
falcon180b-23014.c,1,falcon180b
falcon2-11B-10832.c,0,falcon2
llama2-13B-10360.c,1,llama2
gemini_pro-14771.c,0,gemini_pro
falcon180b-11891.c,0,falcon180b
gpt35-35462.c,1,gpt35
gpt35-64112.c,1,gpt35
llama2-13B-11337.c,1,llama2
falcon2-11B-10135.c,1,falcon2
falcon2-11B-9922.c,0,falcon2
falcon2-11B-4948.c,1,falcon2
gemma7b-14179.c,1,gemma7b
gemma7b-8372.c,0,gemma7b
mistral_7b-8707.c,1,mistral_7b
falcon2-11B-4570.c,0,falcon2
codellama_13b-5737.c,0,codellama_13b
falcon180b-23400.c,0,falcon180b
mistral_7b-7416.c,0,mistral_7b
falcon2-11B-7451.c,1,falcon2
falcon180b-63739.c,0,falcon180b
falcon180b-66466.c,1,falcon180b
gemini_pro-10467.c,1,gemini_pro
llama2-13B-2797.c,0,llama2
falcon2-11B-6250.c,0,falcon2
codellama_13b-2301.c,0,codellama_13b
gpt35-67749.c,1,gpt35
llama2-13B-2669.c,1,llama2
codellama_13b-5031.c,0,codellama_13b
llama2-13B-11127.c,0,llama2
gemini_pro-39178.c,0,gemini_pro
llama2-13B-15333.c,0,llama2
gpt35-16995.c,1,gpt35
falcon2-11B-2317.c,0,falcon2
gemini_pro-1100.c,0,gemini_pro
falcon180b-28364.c,1,falcon180b
codellama_13b-9924.c,1,codellama_13b
mistral_7b-8956.c,1,mistral_7b
falcon180b-45733.c,0,falcon180b
falcon2-11B-5027.c,0,falcon2
gemini_pro-20883.c,0,gemini_pro
mistral_7b-8452.c,0,mistral_7b
falcon180b-22169.c,0,falcon180b
gemini_pro-30910.c,0,gemini_pro
mistral_7b-6376.c,0,mistral_7b
gemma7b-42518.c,1,gemma7b
falcon180b-438.c,1,falcon180b
codellama_13b-9254.c,1,codellama_13b
gemini_pro-11351.c,1,gemini_pro
gpt35-75692.c,1,gpt35
mistral_7b-8978.c,0,mistral_7b
gemma7b-16691.c,0,gemma7b
falcon180b-36879.c,0,falcon180b
llama2-13B-8831.c,1,llama2
llama2-13B-13203.c,1,llama2
llama2-13B-10425.c,1,llama2
gemini_pro-23897.c,0,gemini_pro
gemma7b-32587.c,0,gemma7b
codellama_13b-4136.c,1,codellama_13b
falcon2-11B-11214.c,1,falcon2
gpt35-42068.c,0,gpt35
mistral_7b-6333.c,1,mistral_7b
codellama_13b-5933.c,0,codellama_13b
codellama_13b-8597.c,1,codellama_13b
gemini_pro-36137.c,1,gemini_pro
gpt35-45169.c,1,gpt35
gpt35-33324.c,1,gpt35
gpt4o_mini-2347.c,0,gpt4o_mini
falcon2-11B-6763.c,1,falcon2
falcon2-11B-1945.c,0,falcon2
gpt35-49344.c,0,gpt35
gpt35-54165.c,1,gpt35
mistral_7b-6289.c,0,mistral_7b
llama2-13B-10944.c,0,llama2
gemini_pro-28198.c,1,gemini_pro
gemma7b-17391.c,0,gemma7b
gpt4o_mini-28142.c,1,gpt4o_mini
gemma7b-18594.c,0,gemma7b
falcon180b-60047.c,1,falcon180b
gemini_pro-7757.c,1,gemini_pro
falcon2-11B-2944.c,0,falcon2
gemma7b-29078.c,0,gemma7b
gemini_pro-25699.c,1,gemini_pro
gemma7b-362.c,0,gemma7b
mistral_7b-1907.c,1,mistral_7b
mistral_7b-8402.c,0,mistral_7b
gemini_pro-11069.c,1,gemini_pro
codellama_13b-6438.c,0,codellama_13b
falcon180b-24850.c,0,falcon180b
codellama_13b-7162.c,1,codellama_13b
gpt35-17344.c,0,gpt35
llama2-13B-12224.c,0,llama2
falcon2-11B-2690.c,1,falcon2
falcon180b-71209.c,1,falcon180b
mistral_7b-7196.c,0,mistral_7b
gpt4o_mini-29937.c,1,gpt4o_mini
falcon2-11B-8407.c,1,falcon2
falcon2-11B-4603.c,0,falcon2
falcon180b-50561.c,1,falcon180b
gemini_pro-16415.c,0,gemini_pro
llama2-13B-9373.c,1,llama2
gemma7b-2634.c,1,gemma7b
gpt4o_mini-12997.c,0,gpt4o_mini
llama2-13B-14163.c,1,llama2
falcon2-11B-5295.c,0,falcon2
gemma7b-46353.c,1,gemma7b
falcon2-11B-11436.c,1,falcon2
gemma7b-6565.c,0,gemma7b
falcon180b-48544.c,0,falcon180b
gpt4o_mini-17607.c,1,gpt4o_mini
gpt35-5271.c,0,gpt35
llama2-13B-656.c,1,llama2
codellama_13b-9355.c,1,codellama_13b
gpt35-49782.c,1,gpt35
gpt4o_mini-29112.c,1,gpt4o_mini
codellama_13b-4395.c,0,codellama_13b
gpt4o_mini-6518.c,1,gpt4o_mini
llama2-13B-2311.c,1,llama2
llama2-13B-13569.c,0,llama2
gpt35-27645.c,0,gpt35
falcon180b-46290.c,1,falcon180b
gpt4o_mini-6649.c,1,gpt4o_mini
codellama_13b-6750.c,0,codellama_13b
llama2-13B-8913.c,1,llama2
llama2-13B-8261.c,1,llama2
falcon180b-28831.c,0,falcon180b
gpt35-40434.c,0,gpt35
gemma7b-18597.c,1,gemma7b
falcon2-11B-2192.c,0,falcon2
gemma7b-13862.c,0,gemma7b
codellama_13b-1829.c,0,codellama_13b
llama2-13B-15247.c,1,llama2
mistral_7b-9786.c,0,mistral_7b
falcon180b-54434.c,1,falcon180b
llama2-13B-15990.c,1,llama2
gpt35-49031.c,0,gpt35
gemma7b-10883.c,0,gemma7b
falcon2-11B-4523.c,1,falcon2
gpt35-64468.c,0,gpt35
mistral_7b-3373.c,1,mistral_7b
codellama_13b-1976.c,1,codellama_13b
llama2-13B-11892.c,0,llama2
gemma7b-21519.c,1,gemma7b
falcon180b-28001.c,0,falcon180b
codellama_13b-11800.c,0,codellama_13b
codellama_13b-3978.c,1,codellama_13b
gpt35-53892.c,0,gpt35
llama2-13B-8126.c,0,llama2
falcon2-11B-8057.c,1,falcon2
gemini_pro-35780.c,1,gemini_pro
gemini_pro-32810.c,0,gemini_pro
gpt4o_mini-1537.c,0,gpt4o_mini
gpt4o_mini-1539.c,0,gpt4o_mini
gpt4o_mini-36606.c,1,gpt4o_mini
gpt4o_mini-15322.c,1,gpt4o_mini
gemini_pro-24293.c,1,gemini_pro
mistral_7b-2042.c,1,mistral_7b
gpt4o_mini-8774.c,1,gpt4o_mini
gpt4o_mini-28485.c,0,gpt4o_mini
falcon2-11B-2699.c,1,falcon2
codellama_13b-11368.c,1,codellama_13b
falcon2-11B-11580.c,0,falcon2
gemma7b-10184.c,0,gemma7b
codellama_13b-2764.c,1,codellama_13b
mistral_7b-5462.c,1,mistral_7b
codellama_13b-7033.c,0,codellama_13b
gemma7b-18952.c,0,gemma7b
gpt4o_mini-7126.c,1,gpt4o_mini
gpt35-25523.c,1,gpt35
gpt4o_mini-6732.c,0,gpt4o_mini
gemini_pro-591.c,1,gemini_pro
gemini_pro-3803.c,0,gemini_pro
llama2-13B-17274.c,0,llama2
llama2-13B-17687.c,0,llama2
falcon180b-40636.c,1,falcon180b
gpt35-36453.c,1,gpt35
falcon2-11B-8848.c,0,falcon2
codellama_13b-10563.c,0,codellama_13b
gemma7b-16007.c,0,gemma7b
gemma7b-38601.c,0,gemma7b
gpt4o_mini-19023.c,1,gpt4o_mini
gpt35-74339.c,1,gpt35
gpt4o_mini-21435.c,0,gpt4o_mini
falcon180b-41706.c,1,falcon180b
falcon2-11B-5247.c,0,falcon2
codellama_13b-11672.c,0,codellama_13b
falcon180b-7781.c,0,falcon180b
codellama_13b-5701.c,0,codellama_13b
codellama_13b-7711.c,1,codellama_13b
mistral_7b-2476.c,0,mistral_7b
codellama_13b-5767.c,1,codellama_13b
falcon2-11B-9816.c,0,falcon2
llama2-13B-8882.c,1,llama2
falcon2-11B-7547.c,0,falcon2
gemma7b-36204.c,0,gemma7b
